PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
00f9v,5rk1/2p3p1/1p1p4/3Pp2p/1PP1N1q1/3Qr2N/6PP/6K1 w - - 0 29,d3e3 g4d1 e3e1 d1e1,932,76,100,346,endgame mate mateIn2 short,https://lichess.org/WHRVbLDr#57,,
00fA6,2r3k1/p4p1p/Pn2p1p1/2rpP1P1/5P2/4B1P1/2P4R/R6K b - - 2 28,c5c2 h2c2 c8c2 e3b6 a7b6 a6a7,1830,77,83,71,advancedPawn crushing endgame long,https://lichess.org/eOhm3Aud/black#56,,
00fDM,3rrbk1/2p3R1/1p2q2Q/3p4/1P6/2B4P/6P1/3R2K1 b - - 0 33,f8g7 h6g7,879,78,99,886,mate mateIn1 middlegame oneMove,https://lichess.org/sx01PyS8/black#66,,
00fJC,1r6/6p1/5p1p/r1kp4/Pp3q2/2pR3P/2Q2PP1/3R2K1 b - - 4 39,b8d8 d3c3 b4c3 c2c3 c5d6 c3a5,1699,79,93,602,advantage endgame fork long sacrifice,https://lichess.org/PmojFttS/black#78,,
00fK0,r2q1r2/pp3pk1/2np1Np1/2pN1b2/2B4Q/3P4/PPP3PP/R5K1 b - - 1 17,f5e6 h4h7,640,94,95,323,mate mateIn1 middlegame oneMove,https://lichess.org/PSCBXZwl/black#34,Sicilian_Defense Sicilian_Defense_Closed,
00fN2,r2qkb1r/pp2nppp/4p3/1N1pP3/8/4BQ1P/PP3PP1/R4RK1 b kq - 4 14,a7a6 b5d6 d8d6 e5d6,1025,77,89,235,advantage middlegame short,https://lichess.org/cdN4TcuY/black#28,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,
00fN7,N1bk4/pp1p1R2/5bB1/4p3/4n3/8/PB2r3/2K5 b - - 5 24,e2f2 f7f8 d8e7 f8e8 e7d6 g6e4 f2b2 c1b2,2361,82,77,78,advantage fork middlegame veryLong,https://lichess.org/hpYXRUS4/black#48,,
00fSz,rn1qk2r/ppp2ppp/3p2b1/2bP4/2P1n1P1/P1N1pP1P/1P2P1B1/R1BQK1NR w KQkq - 1 10,f3e4 d8h4 e1f1 h4f2,907,77,100,130,mate mateIn2 opening short,https://lichess.org/eA8X6sp6#19,Englund_Gambit_Declined Englund_Gambit_Declined_Other_variations,
00fTw,r2qk2r/4bpp1/4pn1p/pp1pPb2/2p2P1B/P1P1P3/1P2B1PP/RN1Q1RK1 b kq - 0 13,f5b1 e5f6 e7f6 h4f6,1638,75,82,213,advantage middlegame short,https://lichess.org/Y5xbRkWE/black#26,Bird_Opening Bird_Opening_Dutch_Variation,
00fVJ,8/5pkp/PQ4p1/4p3/RP1pP3/8/2rq1PPP/5BK1 w - - 0 36,b6b5 d2f2 g1h1 c2c1,1364,215,82,22,crushing endgame short,https://lichess.org/Y0F35PWK#71,,
00fXd,8/Q5b1/p2kp3/1p2qpN1/1P6/P7/4nPP1/5K2 b - - 5 46,d6d5 a7c5,1362,78,94,2933,endgame master mate mateIn1 oneMove,https://lichess.org/PkmRzeiI/black#92,,
00fXf,6k1/5p2/3bbq2/p2p2pp/N2Pn3/P3PN1P/4BPP1/2Q3K1 w - - 0 31,a4c5 d6c5 d4c5 g5g4,2228,84,91,892,advantage master middlegame short,https://lichess.org/1Sr4mXWb#61,,
00fZM,5rk1/1q3r1p/3p2RQ/3p4/3B4/2P2P2/P5PP/6K1 b - - 0 30,h7g6 h6h8,989,81,96,2552,endgame mate mateIn1 oneMove,https://lichess.org/F6b275RM/black#60,,
00fba,3r2k1/p3qp1p/6p1/P7/3r4/2Q4P/n4PP1/1RR2BK1 w - - 2 31,c3c7 d4d7 c7c5 a2c1 c5e7 d7e7,1857,76,94,8388,crushing long master middlegame,https://lichess.org/PuG50RPy#61,,
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,584,95,65,201,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/AjVJZKD1#41,,
00fjN,r4rk1/pp3p1p/2p3p1/q3bb2/3Pn3/1Q1BPN2/PP2KPPP/2R4R w - - 0 18,f3e5 a5d2 e2f3 d2f2,1276,79,94,267,mate mateIn2 middlegame short,https://lichess.org/D5JhZSwX#35,Indian_Defense Indian_Defense_Other_variations,
00fky,5rk1/ppqb1p1p/2p2Bp1/3p4/8/2P2Q2/PP3PPP/4R1K1 b - - 0 19,f8e8 e1e8 d7e8 f3e3 c7d6 e3e8,1880,75,93,1605,advantage endgame kingsideAttack long,https://lichess.org/XuK4pm8q/black#38,,
00fld,3R4/5kpp/8/p2p1p2/r2P4/2p1P2P/2Rn1PP1/6K1 w - - 0 44,d8d5 a4a1 g1h2 d2f1,1126,229,47,6,crushing endgame short,https://lichess.org/RmV6CwE1#87,,
00fmc,1r1r2k1/2p3b1/p1q4p/3pP1pb/P2B1p2/1B3P2/1P4PP/R2QR1K1 w - - 7 29,e5e6 g7d4 d1d4 b8b3,1506,77,93,1871,advantage middlegame short,https://lichess.org/KIWMqJFV#57,,
00fpf,7r/pkp5/1pN1Q1rb/3p1n1q/3P4/2P3PN/PP4BP/5RK1 w - - 1 25,e6d5 h6e3 f1f2 h5d1,2098,75,100,179,advantage kingsideAttack middlegame pin short,https://lichess.org/AXqrgWpj#49,,
00fpk,rq2kb1r/1b1p1pp1/p3pn2/1p5p/4P1n1/1NN1BB2/PPP1QPPP/R4RK1 w kq - 2 14,h2h3 b8h2,911,80,92,174,mate mateIn1 middlegame oneMove,https://lichess.org/jWy4FrZ0#27,Sicilian_Defense Sicilian_Defense_Taimanov_Variation,
00ft3,8/p7/2R3p1/4Nnk1/2P4p/7K/Pr6/8 b - - 3 50,g5f4 e5d3 f4g5 d3b2,1264,79,86,827,crushing endgame fork short,https://lichess.org/CFT5b92o/black#100,,
00fvL,rn2qr1k/p2n2pp/1p6/2bRp1B1/2B3Q1/7P/PPP2PP1/1K1R4 b - - 1 17,d7f6 g5f6 g7f6 d5d8 e8d8 d1d8,1425,77,82,500,advantage long middlegame,https://lichess.org/wK09nmRh/black#34,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack,
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1136,77,94,4401,mate mateIn2 opening short,https://lichess.org/REHlrlvo#17,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit,
00fxc,4r2k/1pQ2p2/p4N1p/5P2/1P6/P1Pn1K2/4r3/6R1 w - - 1 36,c7f7 e8e3 f3g4 d3e5 g4h5 e2h2,2264,76,96,2150,endgame exposedKing fork long mate mateIn3,https://lichess.org/cFwPoNNu#71,,
00g2W,6k1/1q4p1/p2P2B1/8/5Q1P/6P1/P6K/4r3 w - - 5 36,f4f2 b7h1,726,94,47,40,endgame master mate mateIn1 oneMove,https://lichess.org/QG0oodxm#71,,
00g5H,2r3k1/p4pp1/1p5p/1Q6/8/5P2/qP4PP/3R2K1 b - - 3 30,a2c4 d1d8 c8d8 b5c4 d8d1 g1f2,1282,75,97,3217,advantage deflection endgame long,https://lichess.org/pzEZtfM3/black#60,,
00g5t,5rk1/p1p3p1/bp2p2p/5p2/2qPB3/2P5/2Q2PPP/R4RK1 w - - 0 24,a1a4 c4f1,1244,104,76,49,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aVCFv31r#47,,
00g9R,8/p4k2/2p3PP/2P2K2/8/2b5/P7/8 b - - 0 42,f7g8 f5e6 c3d2 h6h7,1824,77,93,891,advancedPawn bishopEndgame crushing endgame master short,https://lichess.org/dGdDx4Ku/black#84,,
00gEe,8/pp4bk/2q2npp/2P1Bp2/5P1P/1Q2p1P1/P3Pn2/3R1RK1 w - - 1 30,b3e3 f2h3 g1h2 f6g4 h2h3 g4e3,2334,97,90,630,crushing exposedKing fork long master middlegame,https://lichess.org/THqBcNDR#59,,
00gH0,3r2k1/6pp/8/5Q2/2pP4/2Pq2P1/5RKP/8 b - - 2 35,d3c3 f5f7 g8h8 f7f8 d8f8 f2f8,1340,89,83,822,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/vnNaoc4v/black#70,,
00gJf,7r/2N2p1p/p2p4/1p6/6b1/8/P3kB1P/2RR3K w - - 2 35,f2d4 g4f3 h1g1 h8g8 d4g7 g8g7,1068,131,54,16,endgame long mate mateIn3 pillsburysMate,https://lichess.org/Tbult76w#69,,
00gNl,6k1/5R2/pp4p1/2p4p/7P/1P1r4/P3r1PK/5R2 b - - 0 38,d3d2 f7f8 g8h7 f1f7 h7h6 f8h8,920,81,97,1533,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/JhG6365X/black#76,,
00gPT,2r1r3/5R2/p7/6P1/5P2/PB3bR1/1PP2k1P/2K5 w - - 1 35,g5g6 e8e1 c1d2 e1d1,1784,75,89,151,endgame mate mateIn2 operaMate short,https://lichess.org/197y5kFN#69,,
00gS7,8/1r3pkp/1b4p1/2Rp4/7P/1qP3P1/1P2QP2/2B3K1 w - - 5 33,e2e5 f7f6 c1h6 g7h6 e5f4 h6g7,1659,74,84,112,advantage defensiveMove endgame long,https://lichess.org/kCNSStnU#65,,
00gbj,8/8/8/3k2K1/6nP/6P1/8/8 b - - 4 57,g4e5 g5f5 e5c4 h4h5 c4d6 f5g6,2470,94,87,361,crushing defensiveMove endgame knightEndgame long quietMove,https://lichess.org/TwMT1En7/black#114,,
00gcQ,8/p4p1k/1p4p1/3pQr2/3P3p/5qP1/PPB2P1K/5R2 w - - 6 35,c2d1 h4g3 h2g1 g3f2 g1h2 f3d3 d1e2 d3d2 e5f5 g6f5,2589,112,90,289,advancedPawn advantage endgame veryLong,https://lichess.org/CHTbPYuY#69,,
00gcY,3r2k1/5ppp/b3p3/3q4/3r4/p2PQP1P/3R1NPK/R7 w - - 0 35,a1a3 d5d6 h2h1 d6a3,1479,79,82,76,crushing fork middlegame short,https://lichess.org/m6ztJedJ#69,,
00ggZ,2r2r1k/1pP3pp/p3b3/P7/1P5Q/4q1P1/6PK/RB6 b - - 4 37,c8c7 h4h7,780,85,86,88,mate mateIn1 middlegame oneMove,https://lichess.org/gCG08rHD/black#74,,
00ghH,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,691,77,100,1070,endgame mate mateIn2 short,https://lichess.org/ycQ7nVZM#77,,
00glf,3r2k1/R4p1p/6p1/2p5/P2b1B2/7P/2r2PP1/5RK1 b - - 0 25,d4f2 f1f2 d8d1 f2f1 d1f1 g1f1,1205,75,100,395,advantage endgame long,https://lichess.org/A1ka0Yxc/black#50,,
00gnK,2kr3r/1pq2pp1/p1pbb3/7p/Q2P2n1/5N2/PP1B1PPP/2R1RBK1 w - - 1 20,d2a5 d6h2 f3h2 c7h2,1148,76,85,241,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/MSlXJIGv#39,,
00gpa,r1b2rk1/qp3pp1/p3p2p/8/8/P5P1/1PBB2P1/2RQ3K b - - 0 21,f8d8 d2e3 d8d1 c1d1 g8f8 e3a7 a8a7 d1d8 f8e7 d8c8,2147,80,86,279,advantage fork middlegame sacrifice veryLong,https://lichess.org/tgE8FK8D/black#42,,
00gsT,1r3rk1/p4pp1/4p2p/1Q2Pn2/1b1P4/4BN2/q4PPP/2R2RK1 w - - 1 19,c1a1 a2a1 f1a1 b8b5,1511,78,92,5305,crushing middlegame short,https://lichess.org/Uwrjbb82#37,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations,
00gy1,8/1p6/8/3kp2p/4p1p1/4K1P1/PP4PP/8 w - - 0 36,h2h4 b7b5 a2a3 d5c4 e3e4 c4b3,1993,99,23,25,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/E5BBvr3Q#71,,
00gyK,5rk1/5pp1/3p3p/4p1N1/8/PR6/1p3PPP/6K1 w - - 0 33,g5e4 f8c8 g2g3 c8c1,1598,77,94,5160,crushing endgame quietMove short,https://lichess.org/LK8qER3u#65,,
00gym,r2qkb1r/pp2pppp/3p1nb1/4n3/4P1PN/2PB3P/PP3P2/RNBQK2R b KQkq - 0 11,g6e4 d3e4 f6e4 d1a4 e5c6 a4e4,1721,75,99,1581,advantage fork long opening,https://lichess.org/stQsTszf/black#22,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,
00h41,4Q3/p4r2/1pp1k1pR/5p2/4p1q1/8/PP3P2/5K2 b - - 3 46,f7e7 h6g6 g4g6 e8g6,1280,79,84,361,advantage endgame fork short,https://lichess.org/CgyFo5ok/black#92,,
00h5T,1r2r1k1/3p1pb1/p2q2pp/1p3P2/3p4/P6Q/BPP3PP/4RRK1 b - - 0 23,g6g5 e1e8 b8e8 f5f6,1795,77,77,80,crushing kingsideAttack master middlegame short,https://lichess.org/EzIYa6oA/black#46,,
00h7S,8/p1N3pp/5k2/2PB2b1/1P4b1/P6r/6K1/4R3 b - - 0 31,h3d3 c7e8 f6g6 d5e4,1727,89,87,36,crushing endgame short,https://lichess.org/3HiYfIf1/black#62,,
00h8X,r4r1k/pp1q1pb1/2npbn1p/2p1p3/4P3/1BPP1Q2/PP3P1N/RNB2KR1 b - - 9 17,e6b3 c1h6 g7h6 f3f6 h8h7 h2g4 d7e6 a2b3 e6f6 g4f6,2532,89,78,122,advantage deflection exposedKing fork middlegame veryLong,https://lichess.org/8ji7Sjgz/black#34,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon,
00h8Z,5k2/p1R4R/1p4p1/3r3q/3P4/2P2rQp/PP5K/8 b - - 4 36,f3g3 c7c8 d5d8 c8d8,1537,75,82,149,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/UAWACryx/black#72,,
00h95,7k/Q1p3p1/5p1p/3q4/3Pr3/4P3/P4P1P/1R4K1 w - - 2 26,a7c5 e4g4 g1f1 d5h1 f1e2 h1b1,1696,75,85,113,crushing endgame long skewer,https://lichess.org/awh9vUFg#51,,
00hA5,6n1/2p3k1/1p1p2P1/p2P1K1P/P1P5/1P6/8/8 b - - 2 53,g8h6 f5e6 h6g8 e6d7,1739,78,96,2301,crushing defensiveMove endgame knightEndgame master short,https://lichess.org/JOwIOHIj/black#106,,
00hAC,r1b2r2/p1p1qppk/1p1pp3/3Q4/8/2P2N2/P1P2PPP/R3R1K1 b - - 0 14,c7c6 d5h5 h7g8 f3g5 e7g5 h5g5,1499,76,96,6676,advantage long middlegame,https://lichess.org/RQz03F7U/black#28,Pirc_Defense Pirc_Defense_Roscher_Gambit,
00hCU,r1b2r2/1p5k/3p2pp/p1PBb3/2Pp1p2/P2P2Pq/3B1P1P/1R1QR1K1 w - - 0 26,c5c6 f4g3 f2g3 f8f2 g1f2 h3h2,2789,103,85,417,attraction crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/mc07lrmk#51,,
00hJY,3R4/5p1k/p5pp/6q1/1P4P1/P3rP1P/2Q5/6K1 w - - 0 35,d8d7 g5f4 c2f2 e3f3 f2f3 f4f3,2387,112,90,2014,crushing endgame long,https://lichess.org/Qq8MVHpO#69,,
00hNY,8/p7/1p3k2/8/n1K1P3/3N4/P7/8 b - - 0 44,a4c5 d3c5 b6c5 c4d5,2234,81,82,158,crushing endgame knightEndgame short,https://lichess.org/MGfDzlcO/black#88,,
00hNb,5k2/pp3ppp/4p3/3p4/1Pn2q2/2P3P1/P3Qn1P/R2R3K w - - 1 30,h1g2 c4e3 e2e3 f4e3,1140,78,92,486,crushing endgame fork short,https://lichess.org/n7QzfFtZ#59,,
00hSW,2R5/4b1pk/1r5p/2pPN3/1p2P3/3P4/4K1PP/8 w - - 1 39,e5d7 b4b3 d5d6 e7d6 d7b6 b3b2 b6c4 b2b1q,1729,77,94,12248,advancedPawn advantage endgame master promotion sacrifice veryLong,https://lichess.org/56G5UTGb#77,,
00hSr,r4rk1/5p2/1q2pnRP/p2p4/1ppP4/2P1P3/PPQN1P2/2K4R b - - 0 21,f7g6 c2g6 g8h8 g6g7,1119,96,94,5779,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/FSHLYhgq/black#42,,
00hUl,2kr4/1pq2p2/p3p1p1/2b1n2p/Q1P2B2/7P/P3BPP1/1R4K1 b - - 1 24,c5d6 c4c5 c7c6 a4c6,1942,74,88,1078,crushing middlegame queensideAttack short,https://lichess.org/YyZRpbZ3/black#48,,
00hVE,1K6/1p6/2k5/p7/P1p5/2P5/1P6/8 b - - 3 47,b7b5 b8a7 b5b4 a7a6,2067,74,90,295,crushing endgame master pawnEndgame short,https://lichess.org/Joug17uX/black#94,,
00hYk,8/8/1n4p1/4kp1p/7P/1B2KPP1/8/8 b - - 0 54,b6d5 b3d5 e5d5 e3f4,1277,79,92,4233,crushing endgame short,https://lichess.org/rWJb7AjE/black#108,,
00hbV,8/pk1r1bR1/1p6/8/2P2N2/1P6/1K6/8 b - - 21 60,f7e6 f4e6 d7g7 e6g7,943,77,96,1745,crushing endgame hangingPiece master short,https://lichess.org/DL4VBFov/black#120,,
00hck,8/pp3k1p/3B2p1/2P5/1P6/4n2P/P4qP1/2Q4K w - - 0 33,h1h2 f2g2,1232,80,89,155,endgame mate mateIn1 oneMove,https://lichess.org/42ife2dg#65,,
00hdN,2kr3r/2p2p2/p4q2/1p6/P2PQ3/1PP3p1/6PP/3RR1K1 w - - 0 28,h2h3 f6f2 g1h1 h8h3 g2h3 f2h2,1172,129,80,12,endgame long mate mateIn3 sacrifice,https://lichess.org/1rJrtrSW#55,,
00he6,2k5/pp3p2/5q2/2b1p1p1/4P1Pr/1nN2BK1/PPP3P1/R2Q4 w - - 3 23,c3d5 f6f4 d5f4 e5f4,1758,79,93,1282,mate mateIn2 middlegame sacrifice short,https://lichess.org/ndaNSA8f#45,,
00hgt,r6k/pp1b2p1/3p2rp/6q1/2Q2p2/1P3P1P/PBP1R1P1/4R1K1 b - - 1 24,d7h3 e2e8 a8e8 e1e8 h8h7 c4g8,879,85,98,321,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/V4t9VxQd/black#48,,
00hpL,8/7p/4K2P/8/4k3/8/8/8 b - - 4 53,e4f4 e6f6 f4e4 f6g7 e4f5 g7h7 f5f6 h7g8,1248,79,92,720,crushing endgame pawnEndgame veryLong,https://lichess.org/90qwuU42/black#106,,
00hq5,8/8/p7/1p2kp1p/4pp2/1PP2P2/P3K1PP/8 w - - 0 30,g2g3 f4g3 h2g3 f5f4,1933,75,33,158,crushing endgame master pawnEndgame short,https://lichess.org/gqaNx90V#59,,
00hsd,5k2/p4p2/1p6/3p1R2/7Q/P2Pr1KP/6P1/6q1 w - - 3 40,f5f3 g1e1 g3g4 e1h4 g4h4 e3f3,1627,77,88,73,crushing endgame long,https://lichess.org/vU9uQUNU#79,,
00huB,3r2k1/ppp1bppp/2n5/8/4P1b1/1P3N2/PBP1P1PP/2K2B1R w - - 2 16,h2h3 g4f3 e2f3 e7g5 c1b1 d8d1,1394,77,80,223,crushing long middlegame,https://lichess.org/r7cF2rXM#31,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation,
00huW,8/3k4/p6p/1p2Q1pP/3P2b1/1PP2qP1/P3p3/1K2R3 w - - 3 44,d4d5 f3d3 b1b2 d3d2 b2a3 d2e1,1841,76,96,6753,advantage endgame fork long,https://lichess.org/twVFxiv1#87,,
00hxr,r4rk1/pp3ppp/4p3/3pB1qB/Q1p5/2PbP3/PP1N1P1P/R3K2R w KQ - 0 15,e5g7 g5h5 a4d1 h5d1 a1d1 g8g7,1767,76,93,1624,advantage hangingPiece long middlegame,https://lichess.org/4QIugid6#29,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,
00i6P,1r2R2k/3P2p1/p4q1p/8/2P5/5P2/P4P1P/6K1 b - - 1 34,f6f8 e8f8 b8f8 c4c5 f8d8 c5c6,1348,82,94,2183,advantage endgame long quietMove,https://lichess.org/HxIkxV0Q/black#68,,
00i7t,4r2k/p4r1p/2pp1Q2/2p5/3b1P2/3P2R1/PqPB2PP/4RK2 b - - 0 21,d4f6 e1e8 f7f8 e8f8,927,90,84,147,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/fBWee6U4/black#42,,
00i8I,8/6kp/p4r2/1p6/4P3/P4R2/5KP1/8 w - - 1 48,f2e3 f6f3 e3f3 g7f6,2330,92,90,250,crushing defensiveMove endgame rookEndgame short,https://lichess.org/RTBYdREp#95,,
00iAF,7k/pQ4p1/2p4p/4r3/3r1p1n/6N1/PP2R1PP/6K1 b - - 0 30,f4g3 b7b8 h8h7 b8e5,1487,86,60,46,crushing endgame fork short,https://lichess.org/r62eqxQB/black#60,,
00iDv,r1bq1rk1/1p3pp1/p2bp2p/8/4Q3/2PB4/PP3PPP/R1B2RK1 b - - 0 13,b7b5 e4h7,1282,142,47,45,mate mateIn1 middlegame oneMove,https://lichess.org/ISaBdFYC/black#26,French_Defense French_Defense_Steinitz_Attack,
00iLe,r1b1r1k1/pp1n1pb1/3p1q1p/2pP2p1/2P1B3/4PNB1/PPQ2PPP/2KR3R w - - 1 15,h2h4 e8e4 h4g5 h6g5,1836,75,96,5088,crushing middlegame short,https://lichess.org/fBB50Rwf#29,Torre_Attack Torre_Attack_Fianchetto_Defense,
00iQC,1k1r1b1r/4q3/QBpp4/4p3/4P2p/5p2/P5PP/4R1K1 b - - 0 28,d8d7 e1b1 d7b7 b6a7 b8c8 a6c6 e7c7 c6e8,2123,79,91,1199,crushing discoveredAttack exposedKing middlegame queensideAttack quietMove veryLong,https://lichess.org/Yg1J59NW/black#56,,
00iQD,8/8/8/3K2kp/8/2P1P3/8/8 w - - 0 50,c3c4 h5h4 d5e4 g5g4 c4c5 h4h3 e4e5 h3h2 c5c6 h2h1q,1560,75,95,13835,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/dDMWuoiZ#99,,
00iQH,2r2r2/p4p1k/4q2N/3pn1p1/4p1RQ/2P1P2P/PP4P1/5RK1 w - - 1 27,h6f7 g5h4 f7g5 h7h6 g5e6 f8f1 g1f1 e5g4,2017,76,90,1727,advantage kingsideAttack middlegame veryLong,https://lichess.org/aa99iASm#53,,
00iWt,8/pk5p/1pp1Q3/8/3R2P1/P1P1K2n/1qP2r2/8 b - - 1 35,b2c2 d4d7 b7a6 e6c4 b6b5 c4c6 a6a5 d7a7,1561,74,100,210,deflection endgame mate mateIn4 veryLong,https://lichess.org/jcy73kOF/black#70,,
00iXO,r6r/pp2kB2/1bpR1p2/4p1p1/6b1/1QP3p1/PP3PP1/4R1K1 w - - 2 23,d6d2 b6f2 d2f2 h8h1 g1h1 g3f2,2632,95,95,635,advancedPawn advantage fork long middlegame sacrifice,https://lichess.org/asLbpMTy#45,,
00ieR,6k1/1p3p1p/4p1p1/1P1pP3/P7/4r3/7P/1R4K1 b - - 0 33,e3e5 a4a5 d5d4 a5a6 e5b5 b1b5,1515,76,99,1058,advantage endgame long quietMove rookEndgame,https://lichess.org/TiKjdMLp/black#66,,
00ik3,8/p3kp2/2pp1nr1/4p1B1/bq2P2Q/bP1P3N/P3N3/1K1R3R w - - 0 30,h1f1 a4b3 d1d2 b3d1 b1a1 d1e2,2377,79,86,67,advantage discoveredAttack discoveredCheck long middlegame queensideAttack,https://lichess.org/YmEgAqLR#59,,
00ir2,8/6kp/p2P2b1/2p5/2P5/P5P1/1rPR1K2/8 b - - 0 40,b2c2 d2c2 g6c2 d6d7,1347,80,77,97,advancedPawn crushing endgame short,https://lichess.org/9dmwAePJ/black#80,,
00irz,8/2r1ppk1/8/3P2pP/1Kp1Pp2/1bR5/4BP2/8 w - - 8 40,e2c4 c7c4 c3c4 b3c4 b4c4 f7f6,2780,123,87,600,crushing defensiveMove endgame long,https://lichess.org/H4eT5TpG#79,,
00isY,rnbqkb1r/ppp3pp/5n2/3P1p2/4pB2/2N5/PP3PPP/R2QKBNR b KQkq - 0 7,f8b4 d1a4 c7c6 a4b4,1468,76,96,25759,crushing fork master opening short,https://lichess.org/1q2x0Fv6/black#14,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Other_variations,
00isc,2r2r1k/pp3pp1/1b5p/4P3/1q2RB2/1B1p1N2/PP2K1Q1/6R1 w - - 0 39,e2d3 f8d8 f3d4 d8d4 e4d4 b4d4,1490,78,92,1373,middlegame,https://lichess.org/O8KiRLof#77,,
00itj,8/1pB5/3P2k1/3r2p1/8/4PK1P/7P/8 b - - 2 42,g6f5 e3e4 f5e6 e4d5,887,101,86,50,crushing endgame fork short,https://lichess.org/LAGoAAgQ/black#84,,
00iyx,2kr1b1r/pp3ppp/2p1pq2/6B1/2P3Q1/7P/P4PP1/1R3RK1 b - - 3 19,f6g6 g5d8 g6g4 h3g4,1155,77,95,3670,advantage middlegame short,https://lichess.org/vut9HU3T/black#38,Scandinavian_Defense Scandinavian_Defense_Main_Line,
00j1r,8/2rkb3/1p6/6P1/5q2/3R4/Q1P1K3/8 b - - 4 37,d7c6 a2d5,1591,81,88,4839,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/2Nj3D5mV/black#74,,
00j3i,5rk1/R5p1/5q1p/8/3p4/1P4Q1/P3rPPP/5RK1 w - - 2 38,g3g4 f6f2 f1f2 e2e1 f2f1 e1f1,1361,77,96,15197,endgame long mate mateIn3 sacrifice,https://lichess.org/InWtDWaB#75,,
00j6z,r4r2/ppp1qpk1/3p1n2/2bNp3/2B1P1pR/3P2B1/PPPK1P2/7R b - - 3 18,f6d5 h4g4 e7g5 g4g5,2316,77,85,235,crushing middlegame short,https://lichess.org/Q62gkDZE/black#36,Italian_Game Italian_Game_Giuoco_Pianissimo,
00j8L,6R1/2q2pp1/6kp/1pr5/p2Q1P2/2P3PP/1P5K/8 b - - 4 37,f7f6 d4e4 c5f5 g8f8 c7d7 g3g4,2775,111,90,438,crushing endgame long,https://lichess.org/eAtX7oiv/black#74,,
00j8y,3kr2r/2p2p1p/1p2p3/pQ1PP3/4q1n1/B5K1/P1P4P/3R1R2 b - - 4 25,d8c8 b5a6 c8b8 a3d6 e4e5 d6e5,2374,92,85,66,crushing long middlegame,https://lichess.org/ur2vjM1B/black#50,,
00j9Q,rnb2r1k/2q2p1p/p2p1bp1/1p2pN2/4P1QN/3B3R/PPP2PPP/R5K1 b - - 1 19,g6f5 h4f5 c8f5 g4f5,2021,77,92,3679,advantage middlegame short,https://lichess.org/SalKpiT9/black#38,Sicilian_Defense Sicilian_Defense_Kan_Variation,
00jCD,r4r1k/ppp1b1pp/3qQn2/6B1/8/2N5/PPP2PPP/R4RK1 w - - 3 14,e6b3 f6g4 g2g3 e7g5,1362,75,95,2012,advantage discoveredAttack middlegame short,https://lichess.org/31x6vs1r#27,Italian_Game Italian_Game_Scotch_Gambit,
00jG1,5q1k/4b1p1/2b1p3/2pp2n1/8/2P2PB1/PP2QP1P/R4RK1 w - - 3 25,h2h4 g5f3 g1g2 d5d4,1625,75,88,331,middlegame,https://lichess.org/RDgVFWGO#49,,
00jIG,8/2p5/2B2k2/pp6/2bP1K2/P1P5/1P5p/8 w - - 0 47,c6e4 f6e6 f4g3 c4d5 g3h2 d5e4,2262,75,53,135,bishopEndgame crushing endgame long,https://lichess.org/810w8Q0F#93,,
00jNk,7r/2Q2pb1/3ppk1p/5Bp1/3P4/1N2P1P1/Pr2qPP1/R5KR w - - 6 29,c7d6 e2f2 g1h2 f2g2,1063,102,93,2885,fork mate mateIn2 middlegame short,https://lichess.org/aOJ6ffu5#57,,
